id,sex,race,polviews,cappun,degree2,age
1059,2,1,3,1,1,45
1060,2,1,2,1,0,84
1061,1,1,3,1,0,47
1062,2,1,2,2,1,25
1063,2,1,2,1,1,23
1064,2,1,5,1,0,69
1065,1,1,4,1,0,45
1066,2,1,2,1,0,72
1067,2,1,3,2,1,23
1068,2,1,4,1,0,57
1069,2,1,2,1,1,45
1070,2,1,4,1,0,38
1071,2,1,4,1,0,57
1072,1,1,5,1,0,30
1073,2,3,1,1,0,25
1074,1,1,2,2,1,26
1075,2,1,3,2,1,42
1076,1,1,2,1,0,35
1077,2,1,2,1,0,30
1078,2,1,4,1,0,37
1080,1,1,3,1,1,54
1081,2,1,4,1,0,40
1082,2,1,3,2,0,38
1083,1,1,4,1,0,68
1084,2,1,4,1,0,72
1085,1,1,2,2,1,35
1086,1,1,5,1,0,25
1087,2,1,2,2,0,25
1088,1,1,4,1,0,20
1089,2,1,4,1,0,55
1091,2,1,5,1,0,29
1092,1,1,4,1,0,44
1093,2,1,4,8,0,71
1094,2,1,2,2,0,21
1095,2,1,3,2,1,34
1096,2,1,8,8,0,59
1097,1,1,4,1,0,60
1098,2,1,4,1,0,20
1099,1,1,4,1,0,43
1100,2,1,4,1,0,30
1101,1,1,3,1,0,35
1102,2,1,3,1,0,45
1103,2,1,4,1,0,36
1104,1,1,5,1,1,29
1105,2,3,2,2,0,23
1106,2,1,4,2,0,21
1107,2,1,4,1,0,28
1108,2,1,4,1,0,51
1109,2,1,4,1,0,70
1110,2,1,6,1,0,39
1111,2,1,4,1,0,83
1112,2,3,6,2,0,31
1113,2,2,3,1,0,24
1114,2,2,4,2,0,29
1115,2,1,4,1,0,51
1116,2,1,6,1,0,53
1117,2,1,4,1,1,77
1118,2,1,5,1,0,37
1119,2,1,9,1,0,77
1120,2,1,5,1,0,46
1121,1,1,3,1,0,27
1123,1,1,5,1,0,39
1124,1,1,3,2,0,60
1125,1,1,4,1,0,28
1126,1,1,3,1,0,69
1127,2,1,5,2,0,20
1128,2,1,4,8,0,71
1129,1,1,3,1,0,58
1131,1,1,6,2,0,51
1132,2,1,2,2,1,50
1133,1,3,4,1,0,32
1134,2,1,6,1,0,26
1135,2,1,4,2,0,48
1136,1,1,4,1,0,58
1137,2,1,4,8,0,85
1138,2,1,3,1,0,34
1139,1,1,4,1,0,33
1140,1,1,2,1,0,44
1141,1,1,4,1,0,42
1142,1,1,2,1,0,45
1143,2,1,4,1,0,32
1144,2,1,5,1,0,33
1145,1,1,4,1,0,78
1146,1,1,4,1,0,29
1147,2,1,7,1,0,28
1148,1,1,6,2,0,23
1149,2,1,3,1,0,25
1150,1,1,4,1,0,42
1151,1,1,4,1,0,24
1152,2,1,5,1,0,36
1153,1,1,4,1,0,28
1154,2,1,4,1,0,21
1155,1,1,4,1,0,61
1156,1,2,4,2,0,23
1157,2,1,6,1,1,40
1158,2,1,4,1,0,31
1159,1,1,4,1,0,35
1160,2,1,6,1,0,69
1161,2,1,4,1,0,68
1162,2,1,4,1,0,79
1163,1,1,4,1,0,73
1164,2,1,4,1,0,45
1165,2,1,5,1,1,54
1166,1,1,5,1,1,58
1167,1,1,7,1,1,58
1168,2,1,6,1,1,67
1169,2,1,6,2,0,64
1170,2,1,4,1,0,74
1171,2,2,4,2,0,44
1172,1,1,4,1,0,30
1173,2,1,2,2,1,34
1174,2,1,6,1,0,79
1175,1,1,4,1,0,45
1176,2,1,6,1,0,78
1177,1,1,6,1,0,47
1178,2,1,2,1,0,50
1179,2,1,4,1,0,38
1180,2,1,4,1,0,31
1181,2,1,5,1,0,55
1182,1,1,4,1,1,25
1183,1,1,4,1,0,40
1185,2,1,4,1,0,49
1186,1,1,2,1,0,64
1187,1,1,3,1,0,42
1188,2,1,7,1,0,42
1189,1,1,4,1,0,29
1190,1,1,6,1,0,19
1191,2,1,3,2,0,26
1192,1,2,8,2,0,60
1193,2,1,6,1,0,25
1194,1,1,3,2,1,44
1195,2,1,4,8,0,31
1196,2,1,8,2,0,53
1197,1,1,5,1,0,38
1198,2,1,8,2,0,60
1199,2,1,4,1,0,48
1200,2,1,8,1,1,34
1201,2,1,8,2,0,69
1202,2,1,4,8,0,48
1203,2,1,6,1,0,79
1204,2,1,6,1,1,49
1205,1,1,3,1,1,33
1206,2,1,6,1,1,55
1208,1,1,3,1,0,21
1209,1,1,5,2,1,36
1210,1,1,4,1,0,65
1211,1,1,3,1,1,59
1212,2,1,4,2,1,50
1213,2,2,4,1,0,78
1214,1,2,2,2,0,74
1215,1,2,5,1,0,31
1216,2,2,3,1,0,89
1217,2,2,4,1,0,75
1219,1,1,5,1,0,47
1220,1,1,6,1,0,38
1221,1,1,4,1,0,37
1222,1,1,3,1,0,49
1223,2,1,4,1,0,39
1224,2,1,2,1,0,64
1225,2,1,8,1,8,53
1226,2,1,5,1,1,28
1227,1,1,5,1,0,24
1228,2,1,6,1,0,80
1229,1,1,6,2,1,70
1230,1,1,5,1,0,37
1231,2,1,4,1,1,67
1233,2,1,3,1,0,40
1234,1,1,6,1,0,26
1235,2,1,5,1,1,37
1236,2,2,4,2,0,33
1237,2,1,4,2,0,50
1238,1,1,4,1,0,46
1239,1,1,4,1,0,60
1240,2,1,1,1,1,29
1241,2,1,5,1,0,22
1242,1,1,7,1,0,72
1243,1,2,4,2,0,28
1244,1,1,5,1,1,29
1245,2,1,4,2,0,46
1246,1,1,4,1,0,25
1247,2,1,4,2,1,47
1248,1,1,6,1,0,78
1249,1,1,6,1,1,73
1250,1,1,5,1,0,36
1251,1,1,6,1,0,77
1252,1,1,4,8,0,37
1253,2,2,4,1,0,25
1254,2,1,4,8,0,32
1255,1,1,5,1,1,40
1256,2,1,5,1,0,33
1257,2,1,8,8,0,39
1258,2,3,2,1,0,33
1259,1,1,4,1,0,26
1260,2,1,4,1,0,28
1261,2,2,4,2,0,29
1262,1,1,4,1,1,33
1263,1,1,3,1,1,35
1264,2,1,6,1,0,74
1265,2,1,6,1,0,75
1266,2,1,4,1,0,49
1267,1,1,4,1,1,69
1268,2,2,4,2,0,35
1269,1,1,2,1,0,28
1270,2,2,4,1,0,71
1271,2,2,3,1,0,64
1272,2,2,4,2,0,62
1273,1,2,5,1,0,35
1274,1,1,2,1,0,46
1275,1,1,2,2,1,58
1278,1,1,4,1,0,42
1279,2,1,8,1,8,43
1280,2,1,3,2,0,59
1281,2,1,4,1,0,38
1282,2,1,2,1,0,48
1283,2,1,3,1,0,34
1284,2,1,4,2,0,44
1286,1,2,4,1,0,23
1288,1,2,4,1,0,37
1289,1,1,4,1,0,34
1290,1,1,4,2,0,26
1291,1,1,7,1,0,58
1292,1,1,4,1,0,87
1293,1,1,6,1,1,69
1294,1,1,6,1,0,65
1295,1,1,5,1,1,31
1296,2,1,5,1,1,66
1297,2,1,4,8,1,69
1298,2,1,7,1,1,99
1299,2,1,6,1,1,53
1300,1,1,7,1,0,72
1301,1,1,4,1,0,26
1302,1,1,1,1,0,25
1303,2,1,4,1,0,37
1305,1,1,6,1,0,58
1306,2,1,3,2,1,25
1307,2,1,2,1,0,35
1308,2,1,6,1,0,60
1309,1,1,4,1,0,33
1310,1,1,2,1,0,24
1311,1,1,4,1,0,82
1312,1,1,6,1,0,29
1313,2,1,4,1,0,41
1314,2,1,4,2,0,73
1315,1,1,4,1,0,30
1317,2,1,7,1,0,68
1318,2,1,6,1,0,68
1319,2,1,4,2,0,39
1320,2,1,4,1,0,56
1321,2,1,4,2,0,37
1322,1,1,4,2,0,68
1323,1,1,6,1,0,66
1324,2,1,4,1,0,78
1325,1,1,4,1,0,59
1326,2,1,5,1,0,22
1327,1,1,4,1,0,33
1328,1,1,6,1,0,51
1329,1,1,4,1,0,52
1330,2,1,6,1,0,21
1331,2,1,4,1,1,46
1332,1,1,6,1,0,25
1333,1,1,5,1,1,36
1334,2,1,2,9,0,86
1335,1,1,5,1,0,47
1336,1,1,3,1,0,28
1337,2,1,4,1,0,28
1338,2,1,8,1,0,40
1339,2,2,9,9,9,52
1340,2,1,5,2,0,28
1342,2,2,7,1,0,82
1343,2,2,9,8,0,72
1344,2,1,4,2,9,32
1345,2,1,4,1,1,64
1346,1,2,4,2,0,74
1347,1,1,1,2,0,35
1348,2,1,2,2,1,63
1349,2,1,4,1,0,49
1350,1,1,6,1,0,35
1351,2,1,3,2,0,33
1353,1,1,4,1,0,32
1354,2,1,3,1,1,42
1355,1,2,2,1,0,40
1356,2,3,3,2,1,24
1357,1,2,3,1,0,38
1358,1,1,4,1,0,36
1359,2,1,4,1,0,23
1360,1,1,4,1,0,30
1361,2,1,1,2,0,29
1362,2,1,4,1,0,37
1363,1,1,4,1,0,40
1364,2,1,4,1,0,52
1365,2,1,5,2,0,79
1366,2,1,5,1,0,29
1367,1,1,4,1,0,59
1368,1,1,6,1,1,28
1369,2,1,5,2,1,35
1370,2,1,5,1,0,32
1371,1,1,5,1,0,23
1372,2,3,4,2,1,50
1373,1,1,4,1,1,43
1374,2,1,3,2,0,39
1375,2,1,4,1,0,50
1376,2,1,4,1,0,78
1377,2,1,2,1,1,43
1378,1,1,4,1,1,34
1379,2,1,5,1,0,57
1380,1,1,6,1,0,63
1381,1,1,2,1,0,48
1382,2,1,8,1,0,48
1383,1,1,2,2,1,28
1384,2,3,2,2,1,42
1386,2,1,4,2,0,32
1388,2,1,6,2,0,24
1389,1,1,5,1,1,57
1390,1,1,4,1,0,55
1391,2,1,5,1,0,35
1392,2,1,2,8,0,55
1393,1,1,6,1,0,34
1394,2,1,3,2,0,28
1395,1,1,4,1,0,21
1396,2,1,9,1,0,73
1397,2,1,4,9,1,32
1398,2,1,2,1,0,58
1399,1,1,3,1,0,28
1400,2,1,4,2,0,24
1401,2,1,4,1,0,41
1403,1,1,5,1,0,40
1404,1,1,4,1,0,69
1405,2,1,5,1,0,42
1406,2,1,4,1,0,36
1407,1,1,8,1,0,20
1408,2,1,6,1,0,34
1409,1,1,6,1,1,66
1410,1,1,5,1,1,57
1411,1,1,5,1,0,53
1412,2,1,4,1,0,66
1413,1,1,5,2,1,42
1414,1,1,6,1,0,60
1416,2,1,2,2,1,48
1418,1,1,3,2,1,41
1419,2,1,4,2,0,57
1420,1,1,4,8,0,21
1421,1,1,5,1,0,34
1422,1,1,7,1,0,39
1423,1,1,3,2,1,30
1424,2,1,4,1,0,22
1425,2,1,3,1,0,40
1426,1,1,4,1,0,74
1427,2,1,5,1,0,36
1428,2,1,1,2,0,19
1429,2,1,4,1,0,63
1430,1,1,4,2,0,38
1431,2,1,4,1,0,29
1432,1,1,6,1,1,43
1433,2,1,4,1,0,28
1434,1,1,4,1,0,74
1436,2,1,6,2,0,89
1437,2,1,4,1,0,68
1438,2,1,4,1,0,60
1440,1,1,4,1,0,43
1441,1,1,6,1,0,73
1442,1,1,2,2,0,71
1443,1,1,3,1,0,36
1444,2,1,4,1,0,46
1445,1,1,4,1,0,36
1447,2,1,6,2,0,46
1448,2,1,6,1,0,27
1449,1,1,6,1,0,50
1450,2,1,2,1,0,67
1451,2,1,4,8,0,88
1452,2,1,6,2,0,76
1453,1,1,4,1,0,24
1454,1,1,5,1,1,26
1455,2,1,4,1,1,24
1456,2,3,6,1,0,38
1457,2,3,2,1,0,42
1458,2,1,4,2,0,65
1459,2,3,3,2,1,32
1460,2,2,4,2,0,28
1462,2,1,4,1,0,29
1463,2,1,3,2,0,37
1464,2,1,4,1,1,44
1465,2,1,5,2,1,37
1466,2,1,5,1,1,26
1467,1,1,4,1,0,46
1468,1,1,5,1,0,18
1470,1,1,4,8,0,19
1472,1,3,4,1,0,19
1473,2,1,4,1,0,27
1474,1,1,5,1,0,29
1475,2,1,6,2,0,73
1476,1,1,5,1,1,39
1477,1,1,5,1,0,72
1478,2,1,6,1,0,49
1479,2,1,6,1,0,43
1480,1,1,4,1,0,31
1481,2,1,4,1,0,31
1482,1,1,4,1,1,55
1483,1,1,5,1,0,28
1484,2,1,6,1,0,73
1485,1,1,4,1,0,22
1486,2,1,4,1,0,30
1487,2,1,4,1,0,46
1488,1,1,4,1,0,25
1489,1,1,4,1,0,19
1490,2,1,4,1,1,62
1491,1,1,5,1,0,47
1492,2,2,2,1,0,51
1494,2,2,4,2,0,68
1495,2,2,4,2,0,58
1496,2,2,4,1,0,62
1497,2,1,4,2,0,50
1498,2,1,4,1,0,35
1499,1,1,4,1,0,66
1500,2,1,2,1,0,54
1501,2,1,2,1,0,40
1502,1,1,2,1,0,38
1503,2,1,5,8,0,68
1504,2,1,5,1,0,47
1505,2,1,4,1,1,36
1506,2,1,4,8,0,65
1508,1,1,4,1,0,54
1509,1,1,2,1,0,62
1510,1,1,4,1,0,62
1511,1,2,4,8,0,20
1512,2,1,5,1,0,63
1513,1,1,2,1,0,64
1514,2,1,4,1,0,28
1515,1,1,4,1,0,33
1516,1,1,8,1,0,76
1517,2,1,4,1,0,38
1518,1,1,7,1,0,70
1519,1,1,4,1,0,39
1520,2,1,4,2,0,20
1521,2,1,5,2,0,37
1522,2,1,3,1,0,33
1523,2,1,5,2,0,72
1524,2,1,4,2,0,66
1526,2,1,6,1,0,55
1527,2,1,4,1,1,54
1528,1,2,6,1,0,30
1529,1,1,4,1,0,49
1530,1,2,2,2,1,44
1531,1,2,6,2,0,51
1532,2,2,4,2,0,21
1533,2,2,5,2,0,35
1534,2,1,4,2,0,22
1535,1,1,5,1,0,60
1536,2,2,1,1,0,36
1538,1,2,1,1,0,52
1539,1,2,3,1,0,41
1540,2,2,3,1,0,39
1541,2,1,4,8,0,30
1542,2,1,6,1,0,31
1543,1,1,6,1,0,61
1544,2,1,4,1,0,42
1545,2,1,7,8,0,53
1546,2,1,6,1,1,23
1547,1,1,4,1,0,23
1548,1,1,6,1,1,37
1550,2,1,7,1,0,40
1551,2,1,4,2,0,69
1552,1,1,4,8,0,75
1553,2,1,4,1,0,69
1555,2,1,3,1,1,26
1556,2,1,2,8,0,33
1557,2,1,7,1,0,22
1558,1,2,4,2,0,29
1559,2,1,6,8,0,42
1560,2,1,4,1,0,44
1561,2,1,2,8,0,38
1562,1,1,3,1,0,37
1563,1,1,4,1,0,26
1565,2,1,4,1,0,82
1566,2,2,3,2,0,30
1567,2,1,5,2,0,61
1568,1,1,2,1,0,50
1569,1,1,3,1,0,67
1570,1,1,3,1,0,82
1571,2,1,3,1,0,23
1572,2,1,3,1,0,47
1573,1,1,4,1,1,58
1574,2,1,3,2,0,21
1575,2,1,4,1,0,29
1576,1,1,3,2,0,19
1577,2,1,4,1,0,65
1578,2,1,3,1,0,23
1580,2,1,6,1,0,62
1581,2,1,3,1,0,25
1582,1,3,5,2,0,69
1583,2,1,3,2,1,71
1584,1,1,6,1,0,86
1585,1,1,6,1,1,33
1586,2,1,4,1,0,41
1587,1,1,4,2,0,28
1588,1,1,4,1,0,76
1589,1,1,6,1,0,19
1591,2,1,4,1,0,46
1593,2,1,7,2,0,86
1594,2,1,1,1,0,23
1595,2,1,5,1,0,24
1596,2,1,3,1,0,38
1597,2,1,5,1,1,31
1598,2,1,4,1,0,48
1599,2,1,3,8,0,29
1600,2,1,4,1,0,47
1601,1,1,6,1,1,28
1602,1,2,5,1,1,28
1603,1,1,6,2,1,53
1604,1,1,6,1,1,35
1605,1,1,5,1,1,25
1606,2,1,5,1,1,30
