id,sex,race,polviews,cappun,degree2,age
242,2,1,4,1,0,47
243,2,1,2,2,0,45
244,1,1,4,2,1,35
245,1,1,7,1,0,72
246,1,1,6,2,0,37
247,2,1,3,2,1,41
248,2,1,3,1,0,27
249,2,1,3,1,1,27
250,1,1,4,1,0,50
251,1,1,3,1,1,28
252,1,1,4,2,1,31
253,1,1,3,2,0,51
254,2,2,5,2,0,25
255,1,3,2,1,0,41
256,1,3,6,8,0,26
257,2,2,4,8,0,20
258,2,3,3,1,0,21
259,1,1,5,1,1,43
260,1,1,4,1,1,44
261,2,1,3,1,0,43
262,1,1,5,1,0,39
263,2,1,4,1,1,54
264,2,1,4,1,0,47
265,2,1,2,2,0,77
266,2,1,5,1,1,47
267,2,2,2,1,0,27
268,1,2,8,1,0,39
269,2,1,8,2,0,54
270,2,1,4,1,0,44
271,2,1,4,1,0,27
272,2,3,4,1,0,37
274,2,1,1,1,0,52
275,2,1,4,1,0,76
276,2,1,4,1,0,54
277,1,1,6,1,0,65
278,2,1,4,1,0,71
279,2,1,8,2,0,49
280,2,2,5,1,0,24
281,1,1,6,1,0,43
282,1,2,1,1,0,41
283,2,2,1,1,0,41
284,2,2,4,2,0,46
285,2,1,3,2,0,65
286,1,1,5,1,1,33
287,2,1,4,8,0,33
288,2,1,2,1,0,45
289,2,3,3,2,1,25
290,1,1,4,2,1,24
291,1,1,6,1,0,45
292,2,1,3,1,0,65
293,1,1,4,8,0,44
294,2,1,4,8,0,30
295,1,1,2,1,0,72
296,2,1,4,1,0,46
297,2,1,5,1,0,64
298,1,1,6,1,0,75
299,1,1,4,1,1,71
300,2,1,5,2,1,41
301,2,1,4,1,0,69
302,1,1,3,1,1,37
303,2,1,3,1,0,36
304,2,1,4,8,1,39
305,1,1,5,2,1,52
306,1,1,6,1,0,44
307,1,1,6,1,0,21
308,2,1,5,1,0,42
309,2,1,4,1,1,35
310,1,1,4,1,0,26
311,2,1,4,1,0,48
312,2,1,5,1,0,68
313,1,1,4,1,0,26
315,1,1,4,1,0,36
316,2,1,2,1,0,55
317,1,1,4,1,0,41
318,1,1,4,1,0,43
319,2,1,6,1,0,66
321,2,1,6,1,1,29
322,2,1,3,2,1,41
323,2,1,2,2,0,19
324,1,1,5,1,1,47
325,1,1,4,8,0,49
326,1,1,4,1,0,58
327,2,1,3,1,0,19
328,1,1,5,1,0,35
329,2,1,4,8,0,30
330,1,1,3,1,0,42
331,2,1,3,1,0,54
332,2,1,4,1,0,43
333,2,1,5,1,1,33
334,1,1,4,1,0,21
335,1,1,4,1,0,26
336,1,1,5,1,0,42
337,1,1,6,1,1,34
338,2,1,5,1,0,25
339,1,1,2,1,0,43
340,1,1,2,1,0,65
341,1,1,4,1,0,20
342,2,1,3,2,0,22
343,2,1,5,1,0,23
344,2,1,5,1,0,22
345,1,1,5,1,0,22
346,2,1,5,1,0,20
347,1,1,2,2,0,41
348,2,1,3,1,0,21
349,1,1,4,1,0,33
350,2,1,5,2,0,87
351,2,1,5,2,0,77
352,1,1,3,1,0,40
353,1,1,6,1,1,25
354,1,1,6,1,0,51
355,2,1,4,2,0,32
356,2,1,9,8,0,30
357,1,1,8,8,0,86
358,2,1,4,8,0,40
359,2,1,2,1,0,46
360,2,2,4,1,0,40
361,1,3,4,1,0,43
362,1,1,9,2,0,46
363,2,1,8,8,0,70
364,1,1,2,1,0,32
365,1,1,4,1,0,37
366,1,1,5,1,0,53
367,2,2,5,1,0,32
368,1,1,4,1,0,52
370,2,1,4,1,0,43
371,1,2,2,1,0,25
372,1,1,4,1,0,46
373,2,1,6,1,0,66
374,1,1,5,1,0,42
375,1,3,4,1,0,38
376,1,1,4,2,0,23
378,2,1,4,1,0,35
379,1,1,6,1,0,62
380,1,1,4,2,0,19
381,2,1,6,1,0,19
382,2,1,6,1,0,58
383,2,1,4,1,1,59
385,2,1,6,8,0,68
386,1,1,9,1,0,47
387,1,2,6,1,0,19
388,1,2,6,1,0,35
389,2,2,4,2,0,44
391,2,1,4,1,0,41
392,2,2,2,2,0,38
393,2,2,5,9,1,36
394,1,2,2,1,0,43
395,2,2,9,1,0,35
396,1,2,4,8,0,25
397,1,2,3,2,0,25
399,1,1,4,1,0,73
400,1,1,3,1,1,36
401,1,1,4,1,0,35
402,2,1,4,1,0,67
403,2,1,4,8,0,51
404,2,1,6,2,0,58
405,2,1,6,1,0,40
406,1,1,3,1,0,68
407,2,2,4,1,0,19
408,1,2,4,1,0,52
410,2,1,4,1,0,53
411,2,1,7,1,0,63
412,2,1,4,1,1,75
413,2,1,2,1,0,38
414,2,1,4,1,0,38
415,1,1,6,1,1,49
416,2,1,6,1,0,50
417,2,1,3,1,0,78
418,1,2,8,1,0,57
419,2,2,4,2,0,69
420,2,1,4,1,0,68
422,1,1,6,1,0,58
