Date,Open,High,Low,Close,Volume,Adj Close
02/09/2008,28.54,29.28,22.16,25.5,105769100,21.83
01/08/2008,28.43,30.39,27.76,28.1,43604700,23.73
01/07/2008,26.42,29.89,25.6,28.29,69943000,23.89
02/06/2008,30.75,31.14,26.15,26.69,75216900,22.54
01/05/2008,32.8,33.62,30.21,30.72,52851400,25.66
01/04/2008,37.36,38.52,31.55,32.7,64485500,27.31
03/03/2008,33.34,37.74,31.65,37.01,59927700,30.91
01/02/2008,35.59,36.3,33.09,33.14,44926300,27.68
02/01/2008,37.1,37.45,32.92,35.36,55123800,29.27
03/12/2007,38.2,38.2,36.07,37.07,42936400,30.69
01/11/2007,40.89,40.98,36.52,38.29,45181800,31.43
01/10/2007,41.28,42.15,39.4,41.16,32919400,33.78
04/09/2007,38.84,42.07,38.45,41.4,37426500,33.98
01/08/2007,38.6,40.46,36.2,38.87,46947200,31.69
02/07/2007,38.42,40.98,37.73,38.76,43667100,31.6
01/06/2007,37.68,39.77,36.65,38.28,43860200,31.21
01/05/2007,36.82,37.81,36.45,37.58,31562900,30.42
02/04/2007,35.36,37.24,34.55,36.86,41666000,29.84
01/03/2007,34.61,36,33.9,35.36,37497700,28.62
01/02/2007,36.18,36.5,34.5,34.91,34598700,28.26
03/01/2007,37.41,38.28,35.76,36.05,34343900,28.95
01/12/2006,35.38,38.49,34.96,37.21,33604700,29.88
01/11/2006,35.2,36.28,34.62,35.28,23114100,28.13
02/10/2006,35.4,36.48,34.92,35.11,26500400,27.99
01/09/2006,34.18,35.65,33.76,35.3,24034200,28.14
01/08/2006,32.65,34.44,32.2,34.06,18494400,26.96
03/07/2006,33.1,33.62,32.06,32.69,24910500,25.87
01/06/2006,34.3,34.92,32.78,32.96,27849600,26.09
01/05/2006,34.64,35.24,33.7,34.26,24209600,26.92
03/04/2006,34.79,34.99,33.07,34.59,26428700,27.18
01/03/2006,32.97,35,32.58,34.78,26519300,27.32
01/02/2006,32.66,33.75,32.21,32.87,26951100,25.82
03/01/2006,35.1,35.63,32.63,32.75,34947000,25.54
01/12/2005,35.85,36.26,34.95,35.05,22568500,27.33
01/11/2005,33.97,36.34,33.51,35.72,22225800,27.66
03/10/2005,33.6,34.5,32.67,33.91,23636600,26.26
01/09/2005,33.43,34.58,33,33.67,22843400,26.07
01/08/2005,34.57,34.62,32.85,33.61,19156900,25.85
01/07/2005,34.85,35.78,33.93,34.5,22692600,26.54
01/06/2005,36.48,37.13,34.15,34.65,24312400,26.65
02/05/2005,36.08,37.34,35.56,36.48,17054700,27.89
01/04/2005,36.18,36.6,35.02,36.2,21540700,27.67
01/03/2005,35.27,36.48,35.06,36.06,18737000,27.57
01/02/2005,36,36.61,35.05,35.2,17348000,26.91
03/01/2005,36.71,36.89,34.95,36.13,19883000,27.45
